Ralph,Cross,1,11-15-1997
Kent,Choi,2,07-03-2007
Xavier,Beard,2,01-07-1984
Jorge,Edwards,1,08-28-1975
Greg,Higgins,2,08-29-1953
Tricia,Tanner,1,12-31-1955
Marlon,Campbell,1,05-27-1991
Cara,Downs,2,09-09-1977
Teresa,Tapia,1,12-25-1978
Charlotte,Blevins,1,03-06-1994
Angelica,Ayala,2,02-19-1966
Alfred,Petty,2,06-16-1985
Lea,Wise,2,01-13-1974
Curtis,Alexander,1,04-12-1983
Kelli,Stuart,1,01-04-1996
Cornelius,Manning,2,01-23-1982
Dawn,Pineda,1,11-28-1982
Noah,Dominguez,2,02-22-1979
Ramiro,Benjamin,2,03-13-1996
Rebecca,Clark,1,06-26-2000
Roland,Moon,1,02-29-1972
Chastity,Copeland,2,08-13-1998
Melissa,Herrera,1,09-25-1989
Betsy,Gibbs,1,08-25-1976
Eduardo,O'Connor,2,01-22-1958
Toby,Perez,1,06-12-1958
Ruby,Odom,2,07-09-1973
Timmy,Clark,2,02-18-1962
Adriana,Conner,1,11-03-1988
Donnie,Conway,1,08-22-1969
Clifton,Buckley,1,07-05-1989
Donna,Ortega,1,11-18-1980
Anita,Ramos,2,10-23-2002
Lydia,Boyd,1,11-20-1957
Kristi,Foster,2,03-03-1955
Lonnie,Bailey,2,06-29-2004
Walter,Bautista,2,11-28-1971
Catherine,Gordon,1,11-20-1958
Julius,Bryan,2,07-20-1954
Trenton,Petty,2,07-30-1965
Sandy,,2,09-03-1984
Ivan,Estes,2,07-01-1998
Tyler,Beard,2,06-01-1975
Edward,Ford,2,12-07-1992
Yvette,Bailey,1,11-19-1953
Bobby,Christian,1,06-15-1970
Simon,Travis,1,05-23-1991
Tyler,Conway,2,08-04-1981
Priscilla,Monroe,1,07-26-1982
Lorenzo,Potts,2,04-01-1994
Jennie,Crawford,2,02-09-2001
Levi,Wheeler,1,09-06-1981
Taryn,Woodward,2,12-23-1981
Dana,Lam,1,08-28-1969
Dominick,Dickson,2,10-08-2007
Kristin,York,2,04-04-2007
Tracey,Mc Mahon,1,10-08-1970
Steve,Jacobson,2,05-14-1960
Shari,Gardner,1,08-07-1970
Philip,Khan,1,03-18-2003
Anita,Wolfe,2,06-23-1990
Dustin,Knox,2,04-09-1982
Stefanie,Jackson,2,11-05-1996
Kareem,Kramer,2,05-06-1962
Cody,Marshall,1,09-01-1957
Marcella,Price,1,04-02-1993
Sonya,Wagner,1,08-24-1990
Miriam,Hahn,2,02-24-1969
Esther,Curtis,1,02-09-1981
Kendall,Clark,1,07-07-1999
Alicia,Pugh,1,02-27-1963
Greg,Pittman,2,01-09-1977
Anna,Wiley,2,08-05-1977
Jana,Mahoney,1,08-16-1983
Joanne,Baird,2,10-23-1968
Milton,Crawford,2,08-29-1981
Raul,Long,2,03-14-1976
Quentin,Hammond,2,10-18-2004
Leticia,Kim,2,10-08-1975
Melinda,Mccarty,2,08-09-1995
Damian,Wolf,1,01-20-1975
